"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT"
"1948";"Q95452451";"nm0835140";"1948";;"Claude Stroud";"0"
"2335";"Q24022284";"nm0916688";"2335";;"Michael Weber";"0"
"2999";"Q136391178";"nm0601397";"2999";;"John Jay Moore";"0"
"8277";"Q121086118";"nm0772829";"8277";;"Arne Schmidt";"0"
"9450";"Q134363245";"nm1207495";"9450";;"Neil Rayment";"0"
"9605";"Q20203432";"nm0691365";"9605";;"Vladimir Popov";"0"
"15289";"Q131835153";"nm0055922";"15289";;"John Barnett";"0"
"17507";"Q95859107";"nm2567217";"17507";;"Uwe Trede";"0"
"19353";"Q136304421";"nm1037838";"19353";;"Peter Garde";"0"
"20506";"Q6265333";"nm0957003";"20506";;"John Zinman";"0"
"24710";"Q136089145";"nm0716927";"24710";;"Christopher Reich";"0"
"26651";"Q6764659";"nm0845079";"26651";;"Mario Ernesto Sánchez";"0"
"29654";"Q1209793";"nm0004615";"29654";;"Dick Smith";"0"
"30333";"Q131531461";"nm0271400";"30333";;"Richard Fell";"0"
"30607";"Q111454172";"nm0099435";"30607";;"Jamieson Boulanger";"0"
"37004";"Q133705744";"nm0004089";"37004";;"Matthew Irving";"0"
"37894";"Q112649130";"nm0391955";"37894";;"Mark Holmes";"0"
"39007";"Q134481368";"nm3163793";"39007";;"Carlos Miranda";"0"
"39522";"Q134366684";"nm0214468";"39522";;"James Defelice";"0"
"41893";"Q131519856";"nm0024163";"41893";;"Len Amato";"0"
"49926";"Q136230171";"nm0291619";"49926";;"Mike Frankovich Jr.";"0"
"50195";"Q94860608";"nm0222253";"50195";;"Danielo Devaux";"0"
"51630";"Q4766571";"nm1059198";"51630";;"Pilitak";"0"
"52292";"Q135474872";"nm0770182";"52292";;"Dirk Scharrer";"0"
"53653";"Q3753332";"nm0274676";"53653";;"Jesús Ferrero";"0"
"56507";"Q8008271";"nm0551976";"1213908";;"Bill Martin";"0"
"58986";"Q121091204";"nm0428575";"58986";;"Kevin Knapman";"0"
"60236";"Q5336075";"nm1169005";"60236";;"Eddie Gossling";"0"
"60556";"Q131323856";"nm0732521";"60556";;"Dave Robinson";"0"
"60904";"Q3434683";"nm0122853";"0";;"Rob Burns";"0"
"63387";"Q136373683";"nm0176846";"63387";;"Jack Coogan Sr.";"0"
"63422";"Q15838501";"nm0494628";"63422";;"Philippe Le Sourd";"0"
"64472";"Q124788843";"nm1325924";"0";;"Bryan Terrell Clark";"0"
"66208";"Q136416357";"nm0539618";"66208";;"Amir Jacob Malin";"0"
"67997";"Q7491398";"nm1171067";"67997";;"Shawn Lawrence Otto";"0"
"68090";"Q131463377";"nm0717755";"68090";;"Thomas Reilly";"0"
"78644";"Q2419111";"nm0065738";"78644";;"Theophilus Beckford";"0"
"79548";"Q3310597";"nm2234880";"79548";;"Michel Pirus";"0"
"84972";"Q42336659";"nm0107228";"0";;"John Brenkus";"0"
"86402";"Q135978722";"nm0133802";"86402";;"Charles Cane";"0"
"89276";"Q1154391";"nm0580988";"89276";;"Francesco Merli";"0"
"91886";"Q2553091";"nm0341396";"1167740";;"Wayne Griffin";"0"
"91888";"Q135217005";"nm0373459";"91888";;"Kenneth Heeley-Ray";"0"
"93322";"Q95777103";"nm0716307";"93322";;"Theodore Reeves";"0"
"94012";"Q131387230";"nm2592377";"94012";;"Jeffrey Roth";"0"
"96112";"Q130761680";"nm2424570";"96112";;"Roy Burdine";"0"
"98314";"Q131976808";"nm0442110";"98314";;"Charlotte Kaufman";"0"
"98517";"Q135594445";"nm0252190";"98517";;"Don Eitner";"0"
"102648";"Q136437074";"nm0309729";"102648";;"Jill Gatsby";"0"
"102994";"Q131351617";"nm0372146";"102994";;"John Head";"0"
"103491";"Q136430918";"nm0285663";"103491";;"Grace Ford";"0"
"108403";"Q2059587";"nm3084191";"0";;"Joseph Benavidez";"0"
"110898";"Q16420432";"nm0251033";"110898";;"Ólafur Egilsson";"0"
"114962";"Q136449907";"nm0908671";"114962";;"Helen Wallace";"0"
"115079";"Q133927418";"nm0107063";"115079";;"Leonard Bremen";"0"
"115709";"Q134397858";"nm0265022";"115709";;"James Fagan";"0"
"116009";"Q4141772";"nm3043385";"116009";;"Vasiliy Golovachev";"0"
"120473";"Q135440298";"nm0837986";"120473";;"Brick Sullivan";"0"
"120475";"Q135441127";"nm0587319";"120475";;"Jerry Miley";"0"
"121119";"Q136373749";"nm0244179";"121119";;"Grace Durkin";"0"
"124855";"Q3435044";"nm0254609";"124855";;"Robert Elliott";"0"
"125689";"Q12582940";"nm3675452";"125689";;"Kang Sung-pil";"0"
"126318";"Q121315019";"nm1338122";"126318";;"Robert Humphreys";"0"
"126342";"Q5561957";"nm0040780";"126342";;"Nick Atkinson";"0"
"126589";"Q136398873";"nm0618864";"126589";;"André Nader";"0"
"129014";"Q3025678";"nm1339304";"129014";;"Dhafer L'Abidine";"0"
"132803";"Q11369159";"nm2759146";"4092504";;"Tomohiro Kubo";"0"
"133186";"Q3301066";"nm1103140";"133186";;"Maurice Lime";"0"
"133582";"Q469097";"nm0172503";"0";;"Lyn Collins";"0"
"133797";"Q135264579";"nm0446986";"133797";;"Paul Kelman";"0"
"135636";"Q136423405";"nm2364840";"135636";;"Lystra";"1"
"136330";"Q20664346";"nm2386529";"136330";;"A.J. Bailey";"1"
"137713";"Q128622530";"nm0085984";"137713";;"Maureen Blackwood";"0"
"139632";"Q131406068";"nm0402383";"139632";;"Chris Hunt";"0"
"139814";"Q135981013";"nm0092692";"139814";;"Rick Boland";"0"
"144442";"Q16140807";"nm1315606";"144442";;"Arnut Rapanit";"0"
"145063";"Q16624011";"nm1405206";"145063";;"Oscar Orlando Torres";"0"
"146103";"Q327407";"nm0270819";"0";;"Bi Feiyu";"0"
"147701";"Q2663797";"nm0392792";"1253461";;"Hans Holzer";"0"
"150396";"Q136198397";"nm1478922";"150396";;"Erroll Shand";"0"
"150745";"Q462317";"nm0003286";"150745";;"Taylor S. Clair";"0"
"152897";"Q135446749";"nm0369255";"152897";;"Alan Haufrect";"0"
"154190";"Q130272443";"nm3910627";"154190";;"Indigo Augustine";"1"
"158097";"Q124282636";"nm0645122";"158097";;"Tom Ohmer";"0"
"160696";"Q136379377";"nm0519551";"160696";;"Mark Lonow";"0"
"161635";"Q135557207";"nm0151383";"161635";;"James Chandler";"0"
"161663";"Q11897244";"nm0052148";"0";;"Emily Banks";"0"
"167898";"Q69960011";"nm0745954";"167898";;"Louise Rousseau";"0"
"172179";"Q5489089";"nm0961577";"172179";;"Frank Pugliese";"0"
"172734";"Q110245321";"nm0947742";"172734";;"Don Yesso";"0"
"176819";"Q3525262";"nm4297891";"1315013";;"Thomas Johnson";"0"
"178045";"Q136437211";"nm0546923";"178045";;"Gina Mari";"0"
"184636";"Q136255593";"nm0363938";"184636";;"Rand Harper";"0"
"185512";"Q134590967";"nm0601135";"185512";;"Donald Moore";"0"
"185992";"Q136431065";"nm0265563";"185992";;"Diana Fairfax";"0"
"190513";"Q124655045";"nm0921136";"190513";;"Robin Wentworth";"0"
"194392";"Q132739143";"nm0027350";"194392";;"Robert Anderson";"0"
"223236";"Q6196418";"nm0507355";"1240103";;"Jim Lewis";"0"
"224933";"Q131363902";"nm2145112";"224933";;"Dan Stone";"0"
"225223";"Q109344899";"nm2264164";"225223";;"Stephen Bassett";"0"
"233513";"Q135456290";"nm0670313";"233513";;"Tony Peers";"0"
"235318";"Q4244837";"nm1436182";"235318";;"Andrey Kuzichyov";"0"
"236024";"Q42887185";"nm0193338";"1306714";;"Gabriel Curtis";"0"
"237413";"Q136229170";"nm3763400";"237413";;"Honor Cargil-Martin";"0"
"240657";"Q7199805";"nm1908317";"1238100";;"Karen Chan Ga-Yee";"0"
"268107";"Q19864797";"nm0671318";"268107";;"Melissa Jo Peltier";"0"
"501001";"Q3025635";"nm3846949";"501001";;"Deyan Sudjic";"0"
"519324";"Q131463356";"nm4018617";"519324";;"Dhayanidhi Alagiri";"0"
"545267";"Q131406069";"nm0280302";"545267";;"Kevin Fitzgerald";"0"
"545426";"Q104901343";"nm0515433";"545426";;"Patrick Lizana";"0"
"546874";"Q38452616";"nm3412606";"546874";;"Marit Stocker";"0"
"552238";"Q136379378";"nm0040146";"552238";;"JoAnne Astrow";"0"
"554927";"Q131462482";"nm0795724";"554927";;"Daniel Shulman";"0"
"557216";"Q135913052";"nm3137126";"557216";;"Ali Faulkner";"0"
"563208";"Q62729757";"nm2692904";"563208";;"Bianca Golden";"1"
"566175";"Q114690294";"nm0151013";"566175";;"Chan Man-Keung";"0"
"566672";"Q11672243";"nm4132661";"566672";;"Masahiro Takata";"0"
"566794";"Q131463369";"nm1672572";"566794";;"Ravi Walia";"0"
"570707";"Q6742102";"nm2316214";"570707";;"Choo So-yeong";"0"
"571183";"Q95911558";"nm2476796";"571183";;"Klaus Dieter Bange";"0"
"571660";"Q136416564";"nm1080286";"0";;"Jason Ryder";"1"
"572375";"Q3587857";"nm2862721";"0";;"Elisabeth Buffet";"0"
"576368";"Q4919324";"nm5050394";"576368";;"Patiparn Pataweekarn";"0"
"578692";"Q132471360";"nm3238734";"578692";;"Thomas Coombes";"0"
"581084";"Q15303664";"nm1485941";"581084";;"Madhan Bob";"0"
"593130";"Q131325306";"nm1057948";"593130";;"Rajendra Bhatia";"0"
"606215";"Q2959514";"nm0442104";"139317";;"Charles Kaufman";"0"
"866906";"Q6386167";"nm3573561";"866906";;"Kelly Washington";"0"
"932378";"Q98768681";"nm0436894";"932378";;"Irene Kamp";"0"
"935745";"Q131363255";"nm3677163";"935745";;"Ken Mills";"0"
"935888";"Q4280554";"nm1475312";"1260161";;"Natalia Silantyeva";"0"
"950802";"Q136093211";"nm0330225";"950802";;"Gloria Gordon";"0"
"961520";"Q131520404";"nm2089521";"961520";;"John McDowell";"0"
"964318";"Q8066787";"nm2192173";"964318";;"Zarina Screwvala";"0"
"967321";"Q95912560";"nm3229505";"967321";;"Yoni Brenner";"0"
"985706";"Q130527415";"nm3231469";"985706";;"Adam Cornelius";"0"
"994919";"Q136089509";"nm1246529";"994919";;"Gilberto Ramirez";"0"
"994919";"Q136335598";"nm1246529";"994919";;"Gilberto Ramirez";"0"
"1001020";"Q136126279";"nm0151633";"1001020";;"Anna Chang";"0"
"1001664";"Q16166873";"nm1146705";"1001664";;"Ananda George";"0"
"1004549";"Q136264570";"nm0483435";"1004549";;"Vassili Lambrinos";"0"
"1008601";"Q136148627";"nm0519237";"1008601";;"Woody Long";"1"
"1011260";"Q706518";"nm0858504";"1238874";;"B.J. Thomas";"0"
"1019058";"Q95832685";"nm0727329";"1019058";;"Matthias Rimpler";"0"
"1021431";"Q135656178";"nm3885943";"1021431";;"Sophia Mitri Schloss";"0"
"1022549";"Q134487077";"nm1690777";"1022549";;"Celine Tyll";"0"
"1029016";"Q135982615";"nm0706435";"1029016";;"Randi Rage";"1"
"1030578";"Q51161280";"nm1249814";"1030578";;"Aída Gómez";"0"
"1031116";"Q3256857";"nm0515041";"1031116";;"Liu Xiaodong";"0"
"1033070";"Q131350047";"nm0788930";"1033070";;"Vijay Sharma";"0"
"1037332";"Q22102143";"nm0123202";"1037331";;"Jim Burroughs";"0"
"1041401";"Q7607047";"nm4754105";"1041401";;"Stella Chung";"0"
"1042690";"Q7807480";"nm0715190";"0";;"Tim Redwine";"0"
"1043272";"Q11532089";"nm1656314";"1043272";;"Masataka Matsuda";"0"
"1046134";"Q136353211";"nm2576804";"1046134";;"Molly Conners";"0"
"1055322";"Q136297394";"nm3313615";"1055322";;"Clifford A. Poutre";"0"
"1059527";"Q99522824";"nm1103743";"1059527";;"Paul Bronfman";"0"
"1059826";"Q52161866";"nm2647644";"1059826";;"Silvia Rubi";"1"
"1060081";"Q28749126";"nm2922572";"1060081";;"Johnny Pemberton";"0"
"1061545";"Q136437892";"nm0543682";"1061545";;"Javier Manrique";"0"
"1066869";"Q131462676";"nm0868667";"1066869";;"Ignacio Torres";"0"
"1070385";"Q136108986";"nm4679011";"1070385";;"Michelle Argyris";"0"
"1073188";"Q133850773";"nm0211297";"1073188";;"Nello de'Rossi";"0"
"1075067";"Q9213754";"nm2722005";"1075067";;"Shaohua Yang";"0"
"1077504";"Q16304328";"nm5434984";"1259401";;"Thanya Phowijit";"0"
"1079527";"Q12227898";"nm0252756";"1079527";;"Ali El Scherif";"0"
"1082620";"Q21066051";"nm5215283";"1344492";;"Takrit Hemannopjit";"0"
"1082740";"Q17160439";"nm0813802";"1082740";;"Someno Yukio";"0"
"1087103";"Q2293567";"nm0095457";"1087103";;"Corine Boon";"0"
"1088726";"Q4256346";"nm2738522";"1088726";;"Alexandr Levenbuk";"0"
"1091875";"Q136333555";"nm0130843";"1091875";;"William Calvert";"0"
"1098054";"Q136436803";"nm1442146";"1098054";;"Eglė Mikalauskaitė";"0"
"1106168";"Q115962615";"nm1065412";"1106168";;"Steen Lyders Hansen";"0"
"1113239";"Q131578511";"nm4417706";"1113239";;"Vijay Kumar Arora";"0"
"1114818";"Q136375363";"nm0043042";"1114818";;"Jeanne Avery";"0"
"1114827";"Q133281244";"nm2205098";"1114827";;"Pudgy Roberts";"1"
"1118400";"Q3806784";"nm0972337";"1118400";;"Jamey Scott";"0"
"1120765";"Q132039073";"nm3011176";"1120765";;"Lee Seong-je";"0"
"1131195";"Q4157391";"nm3293566";"1131195";;"Andrey Dementev";"0"
"1131742";"Q538692";"nm0451998";"1131742";;"Bakhtyar Khudojnazarov";"0"
"1138734";"Q125416876";"nm0283493";"1138734";;"Jerry Flynn";"0"
"1139831";"Q136430427";"nm3623694";"1139831";;"Angela Attison";"1"
"1141915";"Q110069713";"nm0135805";"1141915";;"Lucia Cara";"0"
"1143255";"Q71713363";"nm9060285";"0";;"Jean-Albert Foëx";"0"
"1143559";"Q15711484";"nm5434119";"1143559";;"Sathish Krishnan";"0"
"1151345";"Q116763164";"nm1469264";"0";;"Sally Wood";"0"
"1155144";"Q6986802";"nm0022748";"1155144";;"Naftali Alter";"0"
"1157598";"Q12472729";"nm3991389";"1157598";;"Astri Nurdin";"0"
"1159396";"Q136172808";"nm5237561";"1159396";;"Rosine Chouinard-Chauveau";"0"
"1162642";"Q133730705";"nm1428097";"1162642";;"Ofir Babayoff";"0"
"1164362";"Q10311261";"nm0722877";"1769577";;"João Ribeiro";"0"
"1164718";"Q12238168";"nm1760564";"1164718";;"Madline Tabar";"0"
"1169045";"Q15071123";"nm0501188";"2912025";;"Aleksandr Lemberg";"0"
"1169828";"Q104653699";"nm1901728";"0";;"Emily Topper";"0"
"1173756";"Q124829619";"nm1967631";"0";;"Yue Ming";"0"
"1174421";"Q131341204";"nm1210799";"1174421";;"Aarif Sheikh";"0"
"1175498";"Q3335580";"nm3964268";"1175498";;"Nancy Holt";"0"
"1175988";"Q7651025";"nm0710191";"1175988";;"Suzette Ranillo";"0"
"1177098";"Q133837409";"nm1032990";"1177098";;"Zsuzsa Száger";"0"
"1180192";"Q7962743";"nm4033436";"1180192";;"Wallace Berman";"0"
"1181718";"Q131401594";"nm1564624";"1181718";;"Tim Irwin";"0"
"1183695";"Q4665957";"nm2139069";"1183695";;"Abdullah Anas";"0"
"1184298";"Q136432737";"nm0453025";"1184298";;"Nancy Kilgas";"0"
"1186649";"Q6752508";"nm3198894";"1186649";;"Manuel Chua";"0"
"1187650";"Q3964932";"nm4804458";"1187650";;"Susan Lucas";"0"
"1189194";"Q136371006";"nm0127194";"1189194";;"Bror Bødtker-Næss";"0"
"1189495";"Q136172890";"nm0344260";"1189495";;"John Gruber";"0"
"1192835";"Q26059369";"nm2539895";"1192835";;"Jan Haaken";"0"
"1193301";"Q57081634";"nm0959182";"1193301";;"Gábor Závody";"0"
"1194519";"Q106714399";"nm1103124";"1194519";;"Oliver Hardt";"0"
"1197475";"Q134969938";"nm0915502";"1197475";;"Sam Waymon";"0"
