"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"18578";"Q138603890";"nm0117094";"18578";;"Edwin H. Bryant";"0";NULL
"25776";"Q11317947";"nm1735445";"25776";;"Titi Matsumura";"0";NULL
"29654";"Q1209793";"nm0004615";"29654";;"Dick Smith";"0";NULL
"47872";"Q133739433";"nm0422246";"47872";;"Peter Jessop";"0";NULL
"63422";"Q15838501";"nm0494628";"63422";;"Philippe Le Sourd";"0";NULL
"91340";"Q138562947";"nm0870351";"91340";;"Schaun Tozer";"0";NULL
"101909";"Q42887461";"nm1124802";"101909";;"Laurie Rose";"0";NULL
"102277";"Q138515726";"nm0023134";"102277";;"Aurora Alvarado";"0";NULL
"113314";"Q138572417";"nm0796006";"113314";;"Jack Shute";"1";NULL
"117832";"Q138559240";"nm0609345";"117832";;"Phil Motherwell";"0";NULL
"119445";"Q25485023";"nm0943145";"0";;"Ng Ming-Choi";"0";NULL
"124855";"Q3435044";"nm0254609";"124855";;"Robert Elliott";"0";NULL
"126342";"Q5561957";"nm0040780";"126342";;"Nick Atkinson";"0";"2924920"
"132382";"Q138497286";"nm2133672";"132382";;"Ethan Cage";"1";NULL
"132384";"Q138497359";"nm0358502";"132384";;"Sledge Hammer";"1";NULL
"132389";"Q138476419";"nm3237180";"132389";;"Krissy Leigh";"1";NULL
"132803";"Q11369159";"nm2759146";"4092504";;"Tomohiro Kubo";"0";"4092504"
"139970";"Q138515627";"nm2354368";"139970";;"Kate Jones";"1";NULL
"150745";"Q462317";"nm0003286";"150745";;"Taylor S. Clair";"0";"102877"
"151748";"Q5881460";"nm0607612";"0";;"Hollingsworth Morse";"0";NULL
"152560";"Q104530774";"nm0272073";"152560";;"Peter Fenton";"0";NULL
"159184";"Q138570258";"nm0639392";"0";;"Maria O'Brien";"0";NULL
"159184";"Q111575771";"nm0639392";"159184";;"Maria O'Brien";"0";NULL
"163001";"Q5271461";"nm0296286";"163001";;"Diane Frolov";"0";NULL
"179519";"Q138504047";"nm0781225";"179519";;"Marc Sedaka";"0";NULL
"193340";"Q5232133";"nm0134025";"193340";;"David Cann";"0";NULL
"216819";"Q52157805";"nm0189709";"216819";;"Amelia Crowley";"0";NULL
"220118";"Q137299234";"nm1264549";"220118";;"Benjamin Petry";"0";NULL
"237299";"Q11618732";"nm0972196";"237299";;"Miyako Araki";"0";NULL
"555579";"Q11632731";"nm1147118";"554163";;"Koji Taniguchi";"0";"554163"
"555923";"Q52246244";"nm1760201";"555923";;"Julia Power";"1";NULL
"564794";"Q28813494";"nm0469842";"564794";;"Gabriele Kranzelbinder";"0";NULL
"566672";"Q11672243";"nm4132661";"566672";;"Masahiro Takata";"0";"2464449"
"580580";"Q52891260";"nm0396964";"580580";;"Éric Houzelot";"0";NULL
"582237";"Q138507763";"nm4684701";"582237";;"Nicolle Bittencourt";"1";NULL
"591587";"Q4143889";"nm1921061";"591587";;"Garry Gordon";"0";NULL
"592784";"Q73985277";"nm1475993";"0";;"Anette Winblad von Walter";"0";NULL
"929684";"Q133747941";"nm0276836";"929684";;"Aleksandr Filatov";"0";NULL
"935696";"Q6536394";"nm2055337";"935696";;"Amal El Atrache";"0";NULL
"936855";"Q138548771";"nm1162345";"936855";;"Carmen Vera";"1";NULL
"980210";"Q61409478";"nm3200197";"980210";;"Stefania Goulioti";"0";NULL
"1022223";"Q136635633";"nm0942122";"1022223";;"Sam Wren";"0";NULL
"1044786";"Q138588772";"nm0391966";"1044786";;"Meredyth Holmes";"0";NULL
"1050960";"Q138506802";"nm4008252";"1050960";;"Amabella";"1";NULL
"1060081";"Q28749126";"nm2922572";"1060081";;"Johnny Pemberton";"0";NULL
"1079120";"Q8965897";"nm3709345";"1079120";;"Hao Ping";"0";NULL
"1082110";"Q138508059";"nm3099102";"1082110";;"Anne Castro";"1";NULL
"1090086";"Q11675377";"nm0621532";"1090086";;"Sho Narumi";"0";NULL
"1108869";"Q3445834";"nm0914867";"1108869";;"Roy Watson";"0";NULL
"1117487";"Q138457009";"nm0620277";"1117487";;"Kenji Nakanishi";"0";NULL
"1119062";"Q138478729";"nm0867400";"1119062";;"Hatsue Tonooka";"0";NULL
"1119093";"Q132434877";"nm1378202";"1119093";;"Keiji Kubota";"0";NULL
"1120202";"Q17210631";"nm1562814";"1012629";;"Tamotsu Shiina";"0";NULL
"1131195";"Q4157391";"nm3293566";"1131195";;"Andrey Dementev";"0";"1169026"
"1143401";"Q16211199";"nm0914942";"1143401";;"Alan Watt";"0";"1230543"
"1151478";"Q138619463";"nm0199543";"1151478";;"Gabriella Dani";"1";NULL
"1153624";"Q1743381";"nm0435026";"1153624";;"Vladimirs Kaijaks";"0";NULL
"1169045";"Q15071123";"nm0501188";"2912025";;"Aleksandr Lemberg";"0";"2912025"
"1172756";"Q138548709";"nm2804574";"1267472";;"Mégane";"1";NULL
"1175116";"Q138571599";"nm1477203";"1175116";;"Jessica Gayle";"1";NULL
"1179369";"Q138619653";"nm0012334";"0";;"Peter Adolfsson";"1";NULL
"1188035";"Q138512890";"nm0446621";"1188035";;"Mabel Kelly";"0";NULL
"1213909";"Q5236926";"nm0411448";"1213909";;"David M. Israel";"0";NULL
"1214201";"Q138603552";"nm0336715";"1214201";;"Jeri Gray";"0";NULL
"1215390";"Q5241079";"nm1243918";"1215390";;"David Wilcox";"0";NULL
"1216456";"Q1166725";"nm1173874";"0";;"Darryl Sittler";"0";NULL
"1218327";"Q138569285";"nm0055757";"1218327";;"Roger Barnes";"0";NULL
"1219209";"Q5239562";"nm1243435";"1219209";;"David Schulner";"0";NULL
"1222590";"Q4299445";"nm1334994";"1222590";;"Ildy Modrovich";"0";NULL
"1224890";"Q138600035";"nm1382520";"1224890";;"David MacInnis";"0";NULL
"1228726";"Q21000485";"nm0868685";"0";;"Joe Torres";"0";NULL
