"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"121";"Q39243428";"tt0056751";"0";;"Doctor Who";"0"
"138";"Q6034473";"tt0115216";"0";;"Ink";"0"
"211";"Q1860044";"tt0772137";"0";;"The Game";"0"
"332";"Q1601158";"tt0316613";"0";;"Los simuladores";"0"
"426";"Q1348394";"tt0450208";"0";;"The Buzz on Maggie";"0"
"579";"Q694243";"tt0429318";"0";;"The Biggest Loser";"0"
"721";"Q978283";"tt0388595";"0";;"Extreme Makeover: Home Edition";"0"
"866";"Q7142877";"tt0197176";"0";;"Password Plus";"0"
"879";"Q205474";"tt0065272";"0";;"All My Children";"0"
"942";"Q6900818";"tt0463828";"0";;"Monkey Trousers";"0"
"945";"Q1248480";"tt0056745";"0";;"Burke's Law";"0"
"1007";"Q868399";"tt0078635";"0";;"Mrs. Columbo";"0"
"1151";"Q1638819";"tt0056752";"0";;"The Doctors";"0"
"1286";"Q4176031";"tt0259128";"0";;"BattleBots";"0"
"1387";"Q3055086";"tt0081857";"0";;"Entertainment Tonight";"0"
"1454";"Q626737";"tt0288960";"0";;"Hero";"0"
"1510";"Q608555";"tt0475047";"0";;"Hotel Babylon";"0"
"1831";"Q1548487";"tt0421099";"0";;"Grand Designs";"0"
"1991";"Q2299337";"tt0827947";"0";;"Rachael Ray";"0"
"1994";"Q2066628";"tt0367379";"0";;"Eve";"0"
"2002";"Q5520155";"tt0428117";"0";;"Gamezville";"0"
"2039";"Q5701091";"tt0491281";"0";;"Heist";"0"
"2042";"Q3052933";"tt0200325";"0";;"Antiques Roadshow";"0"
"2141";"Q1305362";"tt0161204";"0";;"Two of a Kind";"0"
"2352";"Q464865";"tt0106080";"0";;"The Nanny";"0"
"2394";"Q7786191";"tt0078701";"0";;"This Old House";"0"
"2472";"Q7714064";"tt0450897";"0";;"The Apprentice";"0"
"2486";"Q975669";"tt0247849";"0";;"Andy Pandy";"0"
"2593";"Q826477";"tt0321021";"0";;"Without a Trace";"0"
"2652";"Q2113675";"tt0083428";"0";;"Herbie, the Love Bug";"0"
"2739";"Q1344341";"tt0898332";"0";;"Samantha Who?";"0"
"2852";"Q2158865";"tt0499410";"0";;"That Mitchell and Webb Look";"0"
"3107";"Q5617763";"tt0177444";"0";;"Gullah Gullah Island";"0"
"3256";"Q2496957";"tt0086663";"0";;"All the Rivers Run";"0"
"4001";"Q5226338";"tt0418446";"0";;"You Are What You Eat";"0"
"4246";"Q679096";"tt0419322";"0";;"Evil Con Carne";"0"
"4273";"Q6774315";"tt0465340";"0";;"Martha";"0"
"4460";"Q3934926";"tt0360307";"0";;"Richie Rich";"0"
"4618";"Q584745";"tt0801425";"0";;"Day Break";"0"
"4673";"Q7763104";"tt0046641";"0";;"The Secret Storm";"0"
"4723";"Q6116021";"tt0071001";"0";;"Jack the Ripper";"0"
"5151";"Q4927250";"tt0180342";"0";;"Blockbusters";"0"
