"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";;"Doctor Who";"0";NULL
"1007";"Q868399";"tt0078635";"0";;"Mrs. Columbo";"0";NULL
"1286";"Q4176031";"tt0259128";"0";;"BattleBots";"0";"62959"
"3107";"Q5617763";"tt0177444";"0";;"Gullah Gullah Island";"0";NULL
"5286";"Q2913746";"tt0220267";"0";;"Secret Valley";"0";NULL
"5478";"Q5057729";"tt1249208";"0";;"Celebrity Family Feud";"0";"82108"
"6031";"Q8000736";"tt0108990";"0";;"Wild Oats";"0";NULL
"9370";"Q6291095";"tt0281453";"0";;"Jossy's Giants";"0";NULL
"9787";"Q7757984";"tt0103515";"0";;"The Powers That Be";"0";NULL
"9962";"Q7814726";"tt0108965";"0";;"Tom";"0";NULL
"10656";"Q7372256";"tt1248273";"0";;"Rownd a Rownd";"0";NULL
"10798";"Q3829022";"tt0075484";"0";;"Blansky's Beauties";"0";NULL
"10915";"Q1065288";"tt0083410";"0";;"The Edison Twins";"0";NULL
"13659";"Q7766089";"tt0398568";"0";;"The Squad";"0";NULL
"15610";"Q7714488";"tt1717990";"0";;"Art of Spain";"0";NULL
"16615";"Q7836662";"tt11464646";"0";;"Treasure";"0";NULL
"19603";"Q5968360";"tt0214379";"0";;"La venganza";"0";NULL
"21316";"Q7835612";"tt1343302";"0";;"Trapped";"0";NULL
"22587";"Q16539360";"tt0096558";"0";;"Christine Cromwell";"0";NULL
"23963";"Q1340991";"tt2110632";"0";;"Colour In The Creek";"0";NULL
"24996";"Q7721204";"tt0181204";"0";;"Cannon And Ball";"0";NULL
"25407";"Q5175094";"tt0161137";"0";;"Costello";"0";NULL
"25552";"Q4767136";"tt0075476";"0";;"Anna Karenina";"0";NULL
"26156";"Q138515058";"tt0075479";"0";;"Aspen";"0";NULL
"27521";"Q21070750";"tt0218753";"0";;"Chuck Finn";"0";NULL
"28067";"Q4685228";"tt0271275";"0";;"Adrian Mole: The Cappuccino Years";"0";NULL
"28122";"Q107427031";"tt0083439";"0";;"L For Lester";"0";NULL
"28329";"Q28126865";"tt0088490";"0";;"The Brothers McGregor";"0";NULL
"28861";"Q101475241";"tt0385467";"0";;"Star";"0";NULL
"34542";"Q16956064";"tt1794056";"0";;"Castaway";"0";NULL
"34886";"Q5046189";"tt0278854";"0";;"Carrie's War";"0";NULL
"37017";"Q2912612";"tt0409597";"0";;"De Kavijaks";"0";NULL
"40331";"Q16949100";"tt0318443";"0";;"Lost at Home";"0";NULL
"40576";"Q1572155";"tt0122524";"0";;"Hals über Kopf";"0";NULL
"42284";"Q7038797";"tt1582353";"0";;"Nini's Treehouse";"0";NULL
"42506";"Q107011746";"tt2131768";"0";;"The Mystic Archives of Dantalian";"0";NULL
"43395";"Q6007908";"tt0328758";"0";;"Mañana Será Otro Día";"0";NULL
"47949";"Q136122143";"tt10433430";"0";;"Michael";"0";NULL
"56752";"Q17022403";"tt0398431";"0";;"The Boy Merlin";"0";NULL
"57243";"Q39243484";"tt0436992";"0";;"Doctor Who";"0";NULL
"62494";"Q20102888";"tt3780386";"0";;"The Crackpot";"0";NULL
"74274";"Q26944205";"tt7172670";"0";;"Azja Express";"0";NULL
"80715";"Q5452076";"tt8461250";"0";;"Firing Line with Margaret Hoover";"0";"10631"
"81440";"Q137732048";"tt6293468";"0";;"Traffic Cops";"0";NULL
"85771";"Q21693720";"tt4250064";"0";;"Heel Holland Bakt";"0";"156792"
"86226";"Q4253907";"tt0449500";"0";;"Ландыш серебристый 2";"0";NULL
"90652";"Q64152395";"tt10440412";"0";;"Los Elegidos";"0";NULL
"92305";"Q66363697";"tt14090558";"0";;"Endless Love";"0";NULL
"93667";"Q118119938";"tt11517878";"0";;"422";"0";NULL
"100056";"Q97609999";"tt10880104";"0";;"My Left Nut";"0";NULL
"113846";"Q823843";"tt1254039";"0";;"Mensen zoals jij en ik";"0";"129135"
"128681";"Q138495619";"tt14691104";"0";;"Lac-Noir";"0";NULL
"138371";"Q109553489";"tt4534140";"0";;"Napamiehet";"0";NULL
"156843";"Q97208760";"tt6992276";"0";;"Son Darbe: 28 Şubat";"0";NULL
"200862";"Q13402105";"tt4957334";"0";;"Fatal Wine";"0";"58211"
"214382";"Q86005222";"tt10681672";"0";;"Runaway";"0";NULL
"217826";"Q133455806";"tt20122362";"0";;"Find Yourself";"0";NULL
"218557";"Q135486745";"tt35663349";"0";;"Portobello";"0";NULL
"219959";"Q1191955";"tt0493328";"0";;"Hanaukyou Maid Team";"0";NULL
"239770";"Q126960117";"tt31433814";"0";;"Doctor Who";"0";NULL
"240778";"Q124496504";"tt32843383";"0";;"Loveless Lovers";"0";NULL
"255522";"Q138505546";"tt32474482";"0";;"If It's Tuesday, It's Murder";"0";NULL
"262255";"Q18191291";"tt4057252";"0";;"6 אמהות";"0";NULL
"271048";"Q127604251";"tt33377454";"0";;"Grand Hotel";"0";NULL
"276582";"Q138506754";"tt35324031";"0";;"Love Like a Bike";"0";NULL
"281761";"Q131913727";"tt35294424";"0";;"Mannat: Har Khushi Paane Ki";"0";NULL
"287344";"Q135818951";"tt38629393";"0";;"The Practical Guide to Love";"0";NULL
"290226";"Q138454416";"tt39930758";"0";;"AI Confidential with Hannah Fry";"0";NULL
"293298";"Q136005516";"tt37202552";"0";;"Most Wanted: Teen Hacker";"0";NULL
"295694";"Q138495614";"tt35307135";"0";;"Ravages";"0";NULL
"299172";"Q138102031";"tt40358752";"0";;"Amor Animal";"0";NULL
"299201";"Q4824734";"tt0310416";"0";;"Australian Survivor";"0";"10957"
"302074";"Q138555024";"tt37063558";"0";;"R.J. Decker";"0";NULL
"304277";"Q138501492";"tt38673375";"0";;"How I Made the Alpha Mine";"0";NULL
"311680";"Q86750416";"tt11170862";"0";;"Cosmos: Mundos Posibles";"0";"58474"
"311920";"Q138574364";"tt38225377";"0";;"Casse-Gueule";"0";NULL
"312414";"Q138512040";"tt40217942";"0";;"Tout simplement fan";"0";NULL
"314138";"Q136218721";"tt38890306";"0";;"Hundarna";"0";NULL
"314587";"Q137433401";"tt38624060";"0";;"My rival";"0";NULL
"314916";"Q138494715";"tt35668813";"0";;"Unconditional";"0";NULL
"315100";"Q18224168";"tt0266163";"0";;"Marcha nupcial";"0";NULL
"315195";"Q27536993";"tt8638584";"0";;"Trideviyaan";"0";NULL
"315235";"Q19599557";"tt0366085";"0";;"Rosalía";"0";NULL
"315245";"Q137433296";"tt39699537";"0";;"Heart of gold";"0";NULL
"315262";"Q138541876";"tt37901120";"0";;"Sister's Game";"0";NULL
"315268";"Q116744417";"tt0119993";"0";;"Die Rechte der Kinder";"0";NULL
"315288";"Q115019957";"tt3514596";"0";;"Fighting Spirit: Rising";"0";NULL
"315381";"Q85847940";"tt6436772";"0";;"Valt the Wonder Deer";"0";NULL
"315409";"Q61002671";"tt34505813";"0";;"Mere Humdam";"0";NULL
"315413";"Q48770592";"tt0335725";"0";;"Pacto de amor";"0";NULL
"315440";"Q60576288";"tt7451952";"0";;"Allah Ysameh";"0";NULL
"315516";"Q19572997";"tt0328766";"0";;"Mi hermana la nena";"0";NULL
"315521";"Q2755097";"tt0284757";"0";;"Loopy De Loop";"0";NULL
"315578";"Q18393727";"tt1694512";"0";;"The Robert Herridge Theater";"0";NULL
"315591";"Q5978002";"tt0326686";"0";;"Lo imperdonable";"0";NULL
"315645";"Q3836497";"tt2079933";"0";;"Lola & Virginia";"0";NULL
"315647";"Q2941450";"tt10462996";"0";;"Casting";"0";NULL
"315680";"Q28913279";"tt1725699";"0";;"Danske Vidundere";"0";NULL
"315681";"Q5825743";"tt0245642";"0";;"El milagro de vivir";"0";NULL
"315683";"Q22079951";"tt4285174";"0";;"Movie Juice";"0";NULL
"315728";"Q18128623";"tt8377874";"0";;"Neeli Chatri Waale";"0";NULL
"315732";"Q65562370";"tt3713116";"0";;"J'ai la mémoire qui tourne";"0";NULL
"315761";"Q6081105";"tt0398544";"0";;"Pobre Clara";"0";NULL
"315765";"Q6160141";"tt0361252";"0";;"Ven conmigo";"0";NULL
"315801";"Q5824325";"tt0324724";"0";;"El chofer";"0";NULL
"315842";"Q3284351";"tt0184175";"0";;"The Woody Woodpecker Show";"0";NULL
"315854";"Q5853655";"tt0324819";"0";;"Extraño en su pueblo";"0";NULL
"315856";"Q5890835";"tt0327296";"0";;"Ha llegado una intrusa";"0";NULL
"315892";"Q5825639";"tt0328752";"0";;"El manantial del milagro";"0";NULL
"315922";"Q5980991";"tt0337555";"0";;"Los miserables";"0";NULL
