"ID_MOVIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_MOVIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_MOVIE_ERASE_WIKIDATA_ID"
"10570";"Q1429114";"tt0091060";"10570";"";"Flodder";"0";NULL
"39893";"Q1891905";"tt0059496";"39893";"";"The Nanny";"0";NULL
"48489";"Q2353378";"tt0783798";"48489";"";"The Sin";"0";NULL
"92983";"Q4157228";"tt0056982";"92983";"Q4157228)";"Strictly Business";"0";NULL
"136488";"Q22126745";"tt2073156";"136488";"";"Friends After 3.11";"0";NULL
"170924";"Q3842093";"tt0095562";"170924";"";"Macho Dancer";"0";NULL
"183167";"Q3424148";"tt0206877";"183167";"";"Lava Kusa";"0";NULL
"188991";"Q133798572";"tt0087419";"188991";"";"Hollywood Out-takes and Rare Footage";"0";NULL
"271829";"Q7543926";"tt0258972";"271829";"";"The Smart Alec";"1";NULL
"321396";"Q42296322";"tt1679562";"321396";"";"Die drei Gesichter der Tamara Bunke";"0";NULL
"356486";"Q21427738";"tt3201722";"356486";"";"Lumberjack Man";"0";NULL
"404121";"Q23689523";"tt0042633";"404121";"";"Der keusche Adam";"0";NULL
"416866";"Q85958252";"tt5834828";"0";"";"Ein Sommer auf Sizilien";"0";NULL
"446306";"Q140250330";"tt11459460";"1393268";"";"Blood Spattered at Takadanobaba";"0";"1393268"
"456924";"Q21637327";"tt0175307";"0";"";"Wolf Pit";"0";NULL
"475233";"Q139709366";"tt7645022";"475233";"";"Jessica Drake Is Wicked";"1";NULL
"477759";"Q66818297";"tt7336278";"477759";"";"Power Bangers: A Brazzers XXX Parody";"1";NULL
"512015";"Q119888036";"tt1090197";"512015";"";"Die dritte Frau";"0";NULL
"527280";"Q58058644";"tt7339938";"527280";"";"You Are the Apple of My Eye";"0";NULL
"565225";"Q3297713";"tt3699762";"871035";"";"Whorrey Potter and the Sorcerer's Balls";"1";NULL
"567622";"Q15270976";"tt0093794";"567622";"";"Farewell, Punks of Zamoskvorechye...";"0";NULL
"569217";"Q3745611";"tt11887786";"569217";"";"Finalmente Natale";"0";NULL
"624367";"Q3910268";"tt0038858";"0";"";"Shamed";"0";NULL
"634973";"Q6064700";"tt0273524";"634973";"";"Derya Gülü";"0";NULL
"656958";"Q139840354";"tt11885358";"656958";"";"Room Salon College Girls 2";"0";NULL
"673716";"Q9325212";"tt0347448";"0";"";"The River That Never Dies";"0";NULL
"693868";"Q11064840";"tt0346926";"0";"";"Edhe Keshtu Edhe Ashtu";"0";NULL
"696984";"Q9166461";"tt0347651";"0";"";"Ngjyrat e moshës";"0";NULL
"702775";"Q139840546";"tt10102228";"702775";"";"Boarding House Girls";"0";NULL
"717804";"Q87126328";"tt12567090";"0";"";"Blokhavn";"0";NULL
"727720";"Q97314140";"tt0101079";"0";"";"The Case";"0";NULL
"727720";"Q30887826";"tt0101079";"727720";"";"The Case";"0";NULL
"747079";"Q3602740";"tt1429312";"747079";"";"A Small Town Idol";"0";"175441"
"748761";"Q98593875";"tt12917032";"748761";"";"A Summer in the Vltava";"0";NULL
"795272";"Q27962557";"tt10146432";"795272";"";"La forteresse de verre";"0";NULL
"799348";"Q139841602";"tt14223588";"799348";"";"Yool and Seul";"0";NULL
"871035";"Q3297713";"tt3699762";"871035";"";"Whorrey Potter and the Sorcerer's Balls";"1";NULL
"1233663";"Q72066923";"tt11874616";"0";"";"Meurtres à Cognac";"0";NULL
"1321040";"Q16948966";"tt0200531";"1321040";"";"The Stork";"0";NULL
"1504066";"Q122143513";"tt26900526";"1323756";"";"EMESIS BLUE";"1";NULL
"1526321";"Q135298409";"tt38345656";"0";"";"Fichtelberg";"0";NULL
"1540151";"Q140268801";"tt38640121";"1540151";"";"Block 10";"0";NULL
"1559088";"Q122143513";"tt26900526";"1323756";"";"Emesis Blue";"1";NULL
"1594629";"Q133269512";"tt30988194";"1540810";"";"Gli Omicidi dell'Isola - Delitto a Creta";"0";NULL
"1597451";"Q122143513";"tt26900526";"1323756";"";"Emesis Blue";"1";NULL
"1632519";"Q138507596";"tt0000101";"0";"";"PUDAMI";"1";NULL
"1720547";"Q120635824";"tt14230338";"0";"";"Deewane Do";"0";NULL
"1720575";"Q22686839";"tt0257219";"0";"";"Tatort: Der Trippler";"0";NULL
"1720577";"Q7447357";"tt1727303";"0";"";"Sektou / Ils se sont tus";"0";NULL
"1720695";"Q6065744";"tt0304964";"0";"";"Yolcular";"0";NULL
"1720831";"Q16670534";"tt2119590";"0";"";"古宅迷踪";"0";NULL
"1720858";"Q111109607";"tt0356358";"0";"";"The Shore Waves";"0";NULL
"1720921";"Q5266594";"tt14565354";"0";"";"Devasthanam";"0";NULL
"1721008";"Q97501746";"tt12669976";"0";"";"The Adventures of Alan R.";"0";NULL
"1721225";"Q60521787";"tt0043285";"0";"";"L'angelo del peccato";"0";NULL
"1721568";"Q20035793";"tt0272432";"0";"";"Abdullah The Great";"0";NULL
"1721578";"Q21646008";"tt32341798";"0";"";"Zameen Aasman (1994)";"0";NULL
"1721583";"Q19820065";"tt0237339";"0";"";"International Luterey";"0";NULL
"1721586";"Q19829065";"tt9138070";"0";"";"Jungle Ka Qanoon";"0";NULL
"1721587";"Q77894236";"tt9800356";"0";"";"Api Marenne Na";"0";NULL
"1721629";"Q20900115";"tt0419499";"0";"";"Bhagmati – The Queen of Fortunes";"0";NULL
"1721850";"Q107614182";"tt0999880";"0";"";"The Last of the Franco-Ontarians";"0";NULL
"1721907";"Q3831628";"tt1805300";"0";"";"Liberarsi - Figli di una rivoluzione minore";"0";NULL
"1721979";"Q15845087";"tt0978703";"0";"";"Sautela";"0";NULL
"1722217";"Q105836738";"tt6217906";"0";"";"Le Maitre de la Mort";"0";NULL
"1722403";"Q7084274";"tt0160595";"0";"";"Old Iron";"0";NULL
"1722661";"Q120690366";"tt6464466";"0";"";"Aahat";"0";NULL
"1723097";"Q3878009";"tt0050776";"0";"";"Non cantare... baciami!";"0";NULL
"1723139";"Q12858458";"tt0397453";"0";"";"Hero";"0";NULL
"1723228";"Q38805380";"tt0925057";"0";"";"Adirindi Alludu";"0";NULL
"1723522";"Q39048282";"tt7071336";"0";"";"Kaafi Thota";"0";NULL
"1723571";"Q30609339";"tt6833460";"0";"";"BB5";"0";NULL
"1723849";"Q4837116";"tt0405722";"0";"";"Baaja";"0";NULL
"1723897";"Q11258723";"tt1350630";"1685760";"";"Une Catastrophe";"0";NULL
"1723959";"Q5753353";"tt0357742";"0";"";"Hifazat";"0";NULL
"1723966";"Q7262822";"tt0176073";"0";"";"Pyaar Ka Rishta";"0";NULL
"1723986";"Q121339620";"tt15416136";"0";"";"Ambuja";"0";NULL
"1724024";"Q60854293";"tt0096107";"0";"";"Siedem dni w tygodniu";"0";NULL
"1724185";"Q122143513";"tt26900526";"1323756";"";"Emesis Blue";"0";NULL
"1724223";"Q135224608";"tt15087584";"0";"";"Birth";"0";NULL
"1724313";"Q44873837";"tt0266967";"0";"";"Alone on Watch";"0";NULL
"1724484";"Q111027797";"tt5432064";"0";"";"Paco Candel, l'altre català";"0";NULL
"1724751";"Q7631179";"tt0287735";"0";"";"May it be Auspicious";"0";NULL
"1724769";"Q112749945";"tt7401540";"494323";"";"Disco";"0";NULL
"1724808";"Q52151514";"tt8416160";"0";"";"Christmas Is Coming";"0";NULL
