"ID_MOVIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_MOVIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_MOVIE_ERASE_WIKIDATA_ID"
"2667";"Q644554";"tt0185937";"2667";"";"The Blair Witch Project";"0";NULL
"4242";"Q138848160";"tt0138078";"4242";"";"Scary Movie";"0";NULL
"9741";"Q650613";"tt0217869";"9741";"";"Unbreakable";"0";NULL
"10570";"Q1429114";"tt0091060";"10570";"";"Flodder";"0";NULL
"11531";"Q300842";"tt0229260";"11531";"";"Book of Shadows: Blair Witch 2";"0";NULL
"17415";"Q123616203";"tt1994585";"0";"";"The Wiggles: Go Bananas";"0";NULL
"39735";"Q138993860";"tt2721208";"39735";"";"Sexual Healing";"1";NULL
"39893";"Q1891905";"tt0059496";"39893";"";"The Nanny";"0";NULL
"40285";"Q138757141";"tt0312810";"40285";"";"Indiana Mack";"1";NULL
"40287";"Q138767968";"tt0395361";"40287";"";"Indiana Mack 2";"1";NULL
"40296";"Q138648896";"tt0405919";"40296";"";"Faust: The Power of Sex";"1";NULL
"40303";"Q138778012";"tt0416137";"40303";"";"The Devil Deep Inside";"1";NULL
"43662";"Q138639798";"tt0405807";"43662";"";"Brooklyn Bound";"0";NULL
"48489";"Q2353378";"tt0783798";"48489";"";"The Sin";"0";NULL
"49018";"Q122713";"tt1591095";"49018";"";"Insidious";"0";NULL
"50888";"Q11515581";"tt0470419";"50888";"";"The Last Supper";"0";NULL
"63001";"Q127788449";"tt1994588";"0";"";"The Wiggles: Let's Eat";"0";NULL
"69725";"Q138667352";"tt0283123";"69725";"";"Dirty Vivancos III";"0";NULL
"72248";"Q138868488";"tt1776305";"72248";"";"Storming Juno";"0";NULL
"91170";"Q138634485";"tt0066992";"91170";"";"Devil's Crude";"0";NULL
"91586";"Q13423790";"tt2226417";"91586";"";"Insidious: Chapter 2";"0";NULL
"92983";"Q4157228";"tt0056982";"92983";"Q4157228)";"Strictly Business";"0";NULL
"98376";"Q138788124";"tt0114780";"98376";"";"Under Lock and Key";"0";NULL
"115066";"Q4753618";"tt0431776";"307904";"";"Andarivaadu";"0";"307904"
"115580";"Q6316841";"tt0385791";"0";"";"Jam Films";"0";NULL
"115846";"Q138771733";"tt1523570";"115846";"";"This Ain't Saved by the Bell XXX";"1";NULL
"124070";"Q106718893";"tt2152392";"124070";"";"Fidaï";"0";NULL
"129182";"Q138791628";"tt1702436";"129182";"";"Oh! Invisible Man";"0";NULL
