"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"1691";"Q11398993";"nm0441394";"1691";"";"Shunzo Kato";"0";NULL
"21420";"Q138794645";"nm0402763";"21420";"";"Clark Hunter";"0";NULL
"29654";"Q1209793";"nm0004615";"29654";"";"Dick Smith";"0";NULL
"46314";"Q135983768";"nm2669453";"46314";"";"Jörg Purschke";"0";NULL
"46315";"Q132127567";"nm2680930";"46315";"";"Toshko Savov";"0";NULL
"46464";"Q138799972";"nm0398495";"46464";"";"Elizabeth Hoytink";"0";NULL
"46609";"Q3430982";"nm0500377";"42057";"";"Ted Leighton";"0";"42057"
"46966";"Q131929553";"nm0354443";"46966";"";"Alex Hajdu";"0";NULL
"48294";"Q132127565";"nm2696344";"48294";"";"Goran Rakonjac";"0";NULL
"48301";"Q132127570";"nm2867034";"48301";"";"Chris Wilpert";"0";NULL
"49804";"Q95225599";"nm0469438";"49804";"";"Erik Krambeck";"0";NULL
"55292";"Q133364264";"nm1666152";"55292";"";"Kolja Raschke";"0";NULL
"58280";"Q132197229";"nm0205893";"58280";"";"Agi Ariunsaichan Dawaachu";"0";NULL
"63422";"Q15838501";"nm0494628";"63422";"";"Philippe Le Sourd";"0";NULL
"72216";"Q95225545";"nm2002285";"72216";"";"Lucien Le Rest";"0";NULL
"72589";"Q5052767";"nm0445594";"72589";"";"Catherine Keller";"0";NULL
"80677";"Q2474811";"nm1124954";"153950";"";"Brian Roberts";"0";"153950"
"81143";"Q138706758";"nm0703223";"81143";"";"Alexis Quentin";"0";NULL
"89117";"Q77034";"nm1364729";"0";"";"Paul van Dyk";"0";NULL
"91198";"Q138894641";"nm0024754";"91198";"";"Totty Ames";"0";NULL
"96829";"Q138657800";"nm1266619";"96829";"";"Marianne Mørk Larsen";"0";NULL
"101101";"Q516634";"nm0071531";"73623";"";"Carol Bennet";"0";"73623"
"103024";"Q138856614";"nm0079593";"103024";"";"Caroline de Beus";"0";NULL
"106872";"Q138799489";"nm0123640";"106872";"";"Larry M. Burton";"1";NULL
"106998";"Q138918710";"nm0653067";"106998";"";"Warrene Ott";"0";NULL
"108564";"Q20671472";"nm2340078";"108564";"";"Sativa Verte";"1";NULL
"115771";"Q138859139";"nm0106295";"115771";"";"Margaret Brayton";"0";NULL
"124855";"Q3435044";"nm0254609";"124855";"";"Robert Elliott";"0";NULL
"126342";"Q5561957";"nm0040780";"126342";"";"Nick Atkinson";"0";"2924920"
"126570";"Q138816876";"nm0314759";"126570";"";"Gusta Gerritsen";"0";NULL
"128642";"Q138672256";"nm0857492";"128642";"";"Ralph Theodore";"0";NULL
"132080";"Q138845341";"nm1686323";"132080";"";"Brooke Alexander";"1";NULL
"132803";"Q11369159";"nm2759146";"4092504";"";"Tomohiro Kubo";"0";"4092504"
"137748";"Q138864426";"nm0590267";"137748";"";"Louisa Milwood-Haigh";"0";NULL
"140021";"Q138797963";"nm0350078";"140021";"";"Linda Guzmán";"0";NULL
"143132";"Q105582491";"nm0326956";"143132";"";"Teresa Gomes";"0";NULL
"144593";"Q860942";"nm0490395";"0";"";"Chloe Lattanzi";"0";NULL
"145347";"Q6020935";"nm2435219";"3343766";"";"Ismail Doruk";"0";NULL
"147795";"Q138356870";"nm0150804";"147795";"";"Betty Chan Kwai-Wa";"0";NULL
"150745";"Q462317";"nm0003286";"150745";"";"Taylor S. Clair";"0";"102877"
"155255";"Q138816955";"nm0935755";"155255";"";"Jan Winters";"0";NULL
"173569";"Q18752562";"nm0514759";"0";"";"Chic Littlewood";"0";NULL
"189382";"Q5451106";"nm2062933";"0";"";"Fiona Russell Powell";"0";NULL
"211191";"Q138816944";"nm0796243";"211191";"";"Ricardo Sibelo";"0";NULL
"211208";"Q52635992";"nm0611712";"211208";"";"Carla Mulder";"0";NULL
"211304";"Q40032375";"nm0238311";"211304";"";"Peter Drost";"0";NULL
"213122";"Q506006";"nm0376485";"213122";"";"Joe Henderson";"0";NULL
"219225";"Q138976734";"nm0114459";"219225";"";"Rae Brown";"0";NULL
"220118";"Q137299234";"nm1264549";"220118";"";"Benjamin Petry";"0";NULL
"223780";"Q20456661";"nm4204592";"223780";"";"Johan Raja Lawak";"0";NULL
"226900";"Q138856627";"nm0065965";"226900";"";"Rodney Beddal";"0";NULL
"229042";"Q18093048";"nm2549232";"229042";"";"Marijke Geertsma";"0";NULL
"231892";"Q11548790";"nm7855956";"231892";"";"Ren Mizumori";"1";NULL
"234774";"Q139039966";"nm2967810";"0";"";"Mela";"1";NULL
"238842";"Q9204250";"nm1254138";"238842";"";"Violet Lee Ying";"0";NULL
"239481";"Q3934635";"nm2646194";"239481";"";"Riccardo Tesi";"0";NULL
"275073";"Q4245118";"nm6159120";"2037030";"";"Tatyana Kuznetsova";"0";"2037030"
"555579";"Q11632731";"nm1147118";"554163";"";"Koji Taniguchi";"0";"554163"
"555979";"Q301874";"nm0885345";"0";"";"Ross Valory";"0";NULL
"559897";"Q101112846";"nm1039079";"559897";"";"Vitali Makarov";"0";NULL
"566672";"Q11672243";"nm4132661";"566672";"";"Masahiro Takata";"0";"2464449"
"573832";"Q138872115";"nm4560406";"573832";"";"Briella Bounce";"1";NULL
"578348";"Q1789883";"nm0158377";"578348";"";"Chitãozinho";"0";NULL
"584347";"Q17579848";"nm1181506";"0";"";"A. Jagannathan";"0";NULL
"930131";"Q138862671";"nm0894134";"930131";"";"Mathilde Verhaar";"0";NULL
"931099";"Q10330674";"nm0798615";"1177345";"";"Miroel Silveira";"0";NULL
"936112";"Q138757357";"nm0085270";"936112";"";"Eva Mercedes";"1";NULL
"936113";"Q138769124";"nm1169847";"936113";"";"Loureen Kiss";"1";NULL
"980220";"Q60786963";"nm2809829";"980220";"";"Kostas Berikopoulos";"0";NULL
"995597";"Q138816868";"nm0074584";"995597";"";"Fien Berghegge";"0";NULL
"997464";"Q138748176";"nm1295387";"997464";"";"Vanessa Virgin";"1";NULL
"1004870";"Q138800009";"nm0858122";"1004870";"";"Geert Thijssens";"0";NULL
"1011629";"Q6698412";"nm1569280";"1011629";"";"Lucy M. Boston";"0";NULL
"1013566";"Q3751215";"nm0148442";"1013566";"";"Franco Ceraolo";"0";NULL
"1021484";"Q138912061";"nm4567652";"1021484";"";"Sofia Prada";"1";NULL
"1027769";"Q5772111";"nm0735773";"0";"";"Claudio Rodríguez";"0";NULL
"1036390";"Q138659973";"nm0598404";"1036390";"";"András Monori";"0";NULL
"1041656";"Q12519102";"nm2733323";"1041656";"";"Tan Tjeng Bok";"0";NULL
"1059782";"Q138756970";"nm1155778";"1059782";"";"Melody Magic";"1";NULL
"1060081";"Q28749126";"nm2922572";"1060081";"";"Johnny Pemberton";"0";NULL
"1067242";"Q135337648";"nm17223611";"1067242";"";"Warinda Damrongphol";"0";NULL
"1071125";"Q28056142";"nm2653740";"0";"";"Emma Hartley-Miller";"0";NULL
"1071356";"Q112535730";"nm4792866";"1071356";"";"Kateřina Jandáčková";"0";NULL
"1078668";"Q3546833";"nm0945381";"0";"";"Erika Yamakawa";"0";NULL
"1086551";"Q139041578";"nm0156974";"1086551";"";"Wen Chiang-Lung";"0";NULL
"1089571";"Q11106557";"nm2210656";"0";"";"Hannah Lin";"0";NULL
"1102470";"Q138717574";"nm5216230";"1102470";"";"Jacky Vike";"0";NULL
"1109274";"Q272236";"nm3578076";"0";"";"Unsuk Chin";"0";NULL
"1125630";"Q138847553";"nm0778933";"1125630";"";"Carl Scott";"0";NULL
"1127789";"Q138816994";"nm0941880";"1127789";"";"Wieger Woudsma";"0";NULL
"1131195";"Q4157391";"nm3293566";"1131195";"";"Andrey Dementev";"0";"1169026"
"1132396";"Q126720329";"nm1291724";"1132396";"";"Mrs. Jesse Crawford";"0";NULL
"1133584";"Q138769073";"nm1512279";"1133584";"";"Kelly White";"1";NULL
"1133843";"Q136746236";"nm0379216";"1133843";"";"Rukman Herman";"0";NULL
"1140794";"Q138910316";"nm2903628";"1140794";"";"Kathy Sweet";"1";NULL
"1142799";"Q3479332";"nm0340257";"1142799";"";"Serge Grenier";"0";NULL
"1143401";"Q16211199";"nm0914942";"1143401";"";"Alan Watt";"0";"1230543"
"1144707";"Q138912353";"nm0940452";"1144707";"";"Eunice Woodruff";"0";NULL
"1148941";"Q138750506";"nm1154328";"1148941";"";"Barbarella";"1";NULL
"1153404";"Q109120782";"nm2491808";"3971752";"";"Guido Maria Ranieri";"1";NULL
"1160476";"Q138719887";"nm0903045";"1160476";"";"Dieter von Stein";"1";NULL
"1160502";"Q138842895";"nm1586276";"1160502";"";"Gabriel Montoya";"1";NULL
"1162535";"Q138757006";"nm1156567";"1162535";"";"Tolly Crystal";"1";NULL
"1165942";"Q138795455";"nm0796851";"1165942";"";"Percy Sieff";"0";NULL
"1168230";"Q64779970";"nm2080619";"1168230";"";"Sejal Shah";"0";NULL
"1169045";"Q15071123";"nm0501188";"2912025";"";"Aleksandr Lemberg";"0";"2912025"
"1172533";"Q130732366";"nm5668040";"1172533";"";"Nishadh Yusuf";"0";NULL
"1172954";"Q138912333";"nm0268360";"1172954";"";"Vessie Farrell";"0";NULL
"1175068";"Q138857249";"nm4179059";"1175068";"";"Anita Hengher";"1";NULL
"1175106";"Q138768073";"nm1522460";"1175106";"";"Demi Blue";"1";NULL
"1175283";"Q138785913";"nm0049093";"1175283";"";"Backey Jakic";"1";NULL
"1180151";"Q132084457";"nm0444343";"1180151";"";"Lee Sau-Kei";"0";NULL
"1182025";"Q109349809";"nm0412908";"36875";"";"J.J.";"1";NULL
"1182025";"Q138994497";"nm0412908";"36875";"";"J.J.";"1";NULL
"1182175";"Q138799990";"nm0894196";"1182175";"";"Jan Verhoeven";"0";NULL
"1191274";"Q13105158";"nm5543487";"1191274";"";"Sylvia Camarda";"0";NULL
"1202005";"Q138750539";"nm0431405";"1202005";"";"Angelina Joy";"1";NULL
"1212047";"Q5239418";"nm0756048";"1212047";"";"David Sage";"0";NULL
"1234854";"Q138678799";"nm0376621";"1234854";"";"Ty Henderson";"0";NULL
"1236067";"Q64875440";"nm0481159";"1236067";"";"Ana Maria Lagasca";"0";NULL
"1244319";"Q138859183";"nm0284488";"1244319";"";"James Fonda";"0";NULL
"1246006";"Q7610541";"nm0802332";"0";"";"Stephen Singleton";"0";NULL
"1246622";"Q138860108";"nm2592798";"1246622";"";"Ahmad Givens";"0";NULL
"1259493";"Q13026048";"nm7346573";"1259493";"";"Esther Supreeleela";"0";NULL
"1263274";"Q138796206";"nm4083628";"1263274";"";"Bela von Block";"0";NULL
"1264617";"Q70977780";"nm1340051";"1264617";"";"Justin Strydom";"0";NULL
"1264681";"Q62601428";"nm4301980";"1264681";"";"Yuki Kimura";"0";"2721102"
"1265575";"Q20647454";"nm1752907";"1265575";"";"Sophia Sandobar";"1";NULL
"1268694";"Q138764134";"nm1893831";"1268694";"";"Florence Curtis";"0";NULL
"1269539";"Q17687144";"nm10428142";"1269539";"";"Nanami Hisayo";"1";NULL
"1275251";"Q138910822";"nm2446713";"1275251";"";"Leah Wilde";"1";NULL
"1279371";"Q113122214";"nm1628769";"1279371";"";"Sachin Sanghvi";"0";NULL
"1280675";"Q53451938";"nm0208555";"1280675";"";"Dennis de Getrouwe";"0";NULL
"1280689";"Q52835657";"nm1552812";"1280689";"";"Ronald de Bruin";"0";NULL
"1280736";"Q133852670";"nm0887005";"1280736";"";"Sabrina van Halderen";"0";NULL
"1283231";"Q42269394";"nm0897527";"0";"";"Aigars Vilims";"0";NULL
"1283569";"Q732128";"nm2959508";"1283569";"";"Sergio Bambaren";"0";NULL
"1284537";"Q138856751";"nm0887897";"1284537";"";"Jan Van Rooyen";"0";NULL
"1286220";"Q13025096";"nm2297035";"1286220";"";"Den Dawkpradu";"0";NULL
"1287163";"Q138655379";"nm0623028";"1287163";"";"Walter Navarro";"0";NULL
"1287968";"Q127602782";"nm3623467";"1287968";"";"Eloa Lombard";"1";NULL
"1290357";"Q138781447";"nm0866442";"1290357";"";"Nikolai Tomashevsky";"0";NULL
"1291247";"Q138847552";"nm1675967";"1291247";"";"Angelica Sweet";"1";NULL
"1291343";"Q139043504";"nm0181957";"0";"";"Fanny Cossar";"0";NULL
"1293040";"Q138747765";"nm1295502";"1293040";"";"Black Widow";"1";NULL
"1294861";"Q138768683";"nm1290065";"1294861";"";"Alexandra Schiffer";"1";NULL
"1295417";"Q20445094";"nm4535657";"1295417";"";"Kim Jong-soo";"0";NULL
"1298721";"Q109853596";"nm1154084";"1298721";"";"Burt Arthur";"0";NULL
"1299281";"Q69697161";"nm4300257";"2482161";"";"Park Min-jeong";"0";"2482161"
