"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";"";"Doctor Who";"0";NULL
"1007";"Q868399";"tt0078635";"0";"";"Mrs. Columbo";"0";NULL
"1252";"Q7134935";"tt0426767";"0";"";"Parallax";"0";NULL
"1286";"Q4176031";"tt0259128";"0";"";"BattleBots";"0";"62959"
"2456";"Q8027538";"tt0400059";"0";"";"Wish Ko Lang";"0";NULL
"3107";"Q5617763";"tt0177444";"0";"";"Gullah Gullah Island";"0";NULL
"5047";"Q7784556";"tt0397206";"0";"";"Thinkabout";"0";NULL
"5478";"Q5057729";"tt1249208";"0";"";"Celebrity Family Feud";"0";"82108"
"5705";"Q491737";"tt4973750";"0";"";"Gag Concert";"0";NULL
"6031";"Q8000736";"tt0108990";"0";"";"Wild Oats";"0";NULL
"7886";"Q5597418";"tt0379628";"0";"";"Grass";"0";NULL
"8021";"Q7300951";"tt0855470";"0";"";"Real Kung Fu";"0";NULL
"9787";"Q7757984";"tt0103515";"0";"";"The Powers That Be";"0";NULL
"9962";"Q7814726";"tt0108965";"0";"";"Tom";"0";NULL
"10798";"Q3829022";"tt0075484";"0";"";"Blansky's Beauties";"0";NULL
"14539";"Q3001834";"tt0419318";"0";"";"Cover Girl";"0";NULL
"15002";"Q7722246";"tt0298631";"0";"";"The Chaser Election Collection";"0";NULL
"15128";"Q28443672";"tt0217178";"0";"";"Buddy";"0";NULL
"15365";"Q6823044";"tt12433890";"0";"";"Metamorphosis";"0";NULL
"19153";"Q5553909";"tt1233236";"0";"";"Get Hit";"0";NULL
"19463";"Q16998409";"tt0165050";"0";"";"Mystery and Imagination";"0";"203835"
"19583";"Q4004294";"tt0169479";"0";"";"The Other 'Arf";"0";NULL
"22587";"Q16539360";"tt0096558";"0";"";"Christine Cromwell";"0";NULL
"23084";"Q5095782";"tt0118284";"0";"";"Chicago Sons";"0";NULL
"25407";"Q5175094";"tt0161137";"0";"";"Costello";"0";NULL
"25552";"Q4767136";"tt0075476";"0";"";"Anna Karenina";"0";NULL
"28566";"Q11074967";"tt16749374";"0";"";"The Two Lottes";"0";NULL
"29301";"Q3824342";"tt0094451";"0";"";"The Dirty Dozen";"0";NULL
"29819";"Q107185215";"tt0094452";"0";"";"Double First";"0";NULL
"31273";"Q4795643";"tt1533163";"0";"";"Around the World in 80 Days";"0";NULL
"32990";"Q16203424";"tt1024166";"0";"";"Lassie's Pet Vet";"0";NULL
"40801";"Q1196774";"tt0305102";"0";"";"Der Schwammerlkönig";"0";NULL
"42506";"Q107011746";"tt2131768";"0";"";"The Mystic Archives of Dantalian";"0";NULL
"43718";"Q5036767";"tt0238343";"0";"";"Kapitan Petko Voyvoda";"0";NULL
"44267";"Q6864636";"tt7050996";"0";"";"Ming Dynasty";"0";NULL
"55553";"Q4507498";"tt5442458";"0";"";"The Voice Ahla Sawt";"0";NULL
"57243";"Q39243484";"tt0436992";"0";"";"Doctor Who";"0";NULL
"66046";"Q19349423";"tt6289510";"0";"";"Mystery Music Show: King of Mask Singer";"0";NULL
"66829";"Q25494823";"tt5622868";"0";"";"Bake Off Israel";"0";NULL
"67359";"Q134473827";"tt7243824";"0";"";"Qualidea Code";"0";NULL
"67692";"Q138847694";"tt4075192";"0";"";"Where Does the Motherland Begin?";"0";NULL
"74274";"Q26944205";"tt7172670";"0";"";"Azja Express";"0";NULL
"74541";"Q48750356";"tt7604126";"0";"";"The Siege";"0";NULL
"75251";"Q17516929";"tt7915114";"0";"";"Udann Sapnon Ki";"0";NULL
"75257";"Q33104794";"tt7401524";"0";"";"Tenali Rama";"0";NULL
"76120";"Q123905170";"tt15011762";"0";"";"Dame×Prince Anime Caravan";"0";NULL
"80715";"Q5452076";"tt8461250";"0";"";"Firing Line with Margaret Hoover";"0";"10631"
"85771";"Q21693720";"tt4250064";"0";"";"Heel Holland Bakt";"0";"156792"
"86226";"Q4253907";"tt0449500";"0";"";"Ландыш серебристый 2";"0";NULL
"90625";"Q112245864";"tt8531648";"0";"";"Dedalo";"0";NULL
"93195";"Q54991672";"tt10934952";"0";"";"Kriminálka 5.C";"0";NULL
"94931";"Q69785627";"tt10895664";"0";"";"Imma Tataranni";"0";NULL
"97204";"Q134293534";"tt11800464";"0";"";"From bully to best friend";"0";NULL
"108237";"Q7317211";"tt5256416";"0";"";"Return of the Cuckoo";"0";NULL
"113846";"Q823843";"tt1254039";"0";"";"Mensen zoals jij en ik";"0";"129135"
"114097";"Q138847773";"tt15325406";"0";"";"First Department";"0";NULL
"116496";"Q107463293";"tt15079894";"0";"";"Paavam Ganesan";"0";NULL
"116755";"Q4129831";"tt1446023";"0";"";"Sky High";"0";NULL
"118421";"Q110464212";"tt21360366";"0";"";"Naked Attraction Italy";"0";NULL
"118962";"Q9390455";"tt0121046";"0";"";"Zespół adwokacki";"0";NULL
"120325";"Q105742268";"tt14135990";"0";"";"Space Invaders";"0";NULL
"123473";"Q115783618";"tt14551740";"0";"";"The Game Caterers";"0";NULL
"132755";"Q123024522";"tt15379832";"0";"";"Dzielnica strachu";"0";NULL
"138371";"Q109553489";"tt4534140";"0";"";"Napamiehet";"0";NULL
"158145";"Q124662618";"tt18274008";"0";"";"Our Days";"0";NULL
"197151";"Q29573154";"tt10189204";"0";"";"The Pact";"0";"71096"
"197851";"Q139037496";"tt19873262";"0";"";"Chief of Intelligence";"0";NULL
"200862";"Q13402105";"tt4957334";"0";"";"Fatal Wine";"0";"58211"
"201775";"Q16834297";"tt2194853";"0";"";"Curiosity Quest";"0";NULL
"203438";"Q10323546";"tt0143051";"0";"";"Mandacaru";"0";NULL
"206958";"Q138908920";"tt22185218";"0";"";"Boy's Abyss";"0";NULL
"210313";"Q114166921";"tt21390978";"0";"";"Dropper";"0";NULL
"219899";"Q116693996";"tt27584368";"0";"";"Sistemann ut";"0";NULL
"219959";"Q1191955";"tt0493328";"0";"";"Hanaukyou Maid Team";"0";NULL
"220089";"Q126100333";"tt29311315";"0";"";"Dongjae, the Good or the Bastard";"0";NULL
"226680";"Q119348597";"tt30423822";"0";"";"GialappaShow";"0";NULL
"228436";"Q138605839";"tt21104026";"0";"";"Vida the Vet";"0";NULL
"229862";"Q17636094";"tt0495251";"0";"";"La España salvaje";"0";NULL
"232670";"Q126033701";"tt24131442";"0";"";"A Love So Beautiful";"0";NULL
"232671";"Q115483122";"tt23874762";"0";"";"Beauty Newbie";"0";NULL
"236159";"Q124649074";"tt29546449";"0";"";"On the Waves of Adriatic";"0";NULL
"238786";"Q124936212";"tt33257082";"0";"";"University War";"0";NULL
"239770";"Q126960117";"tt31433814";"0";"";"Doctor Who";"0";NULL
"241871";"Q138450243";"tt30820396";"0";"";"CHASER GAME W: My Evil Boss is My Ex-Girlfriend";"0";NULL
"244009";"Q124287638";"tt31037512";"0";"";"Bakemesterskapet";"0";NULL
"249204";"Q138709389";"tt31715424";"0";"";"Admiral Kuznetsov";"0";NULL
"249600";"Q130242717";"tt31843867";"0";"";"Secret Ingredient";"0";NULL
"255760";"Q138975593";"tt32499838";"0";"";"Kevin";"0";NULL
"256467";"Q134387056";"tt32603540";"0";"";"Lilies";"0";NULL
"257724";"Q137376122";"tt19872788";"0";"";"Hey A.J.!";"0";NULL
"272326";"Q3686205";"tt3857822";"0";"";"Conch Bay";"0";NULL
"273240";"Q138862091";"tt33546863";"0";"";"Off Campus";"0";NULL
"274011";"Q130739685";"tt33143897";"0";"";"Buldok z Poděbrad";"0";NULL
"274017";"Q136090838";"tt33836845";"0";"";"La agencia";"0";NULL
"274035";"Q116998492";"tt33397672";"0";"";"Lovec";"0";NULL
"275123";"Q127106088";"tt12768740";"0";"";"La Pantera Rosa";"0";NULL
"275202";"Q138682494";"tt34231110";"0";"";"La oficina";"0";NULL
"277363";"Q138827909";"tt31118410";"0";"";"The Method: Identity Principle";"0";NULL
"278113";"Q134848097";"tt37253311";"0";"";"Gold Land";"0";NULL
"278406";"Q1193512";"tt0156675";"0";"";"Kamen Rider V3";"0";NULL
"278566";"Q131512804";"tt35042502";"0";"";"Handsome Guys";"0";NULL
"278573";"Q131386568";"tt39333617";"0";"";"Perfect Crown";"0";NULL
"278839";"Q135908921";"tt31835125";"0";"";"Enemy is at the Gate";"0";NULL
"279082";"Q136456107";"tt37252742";"0";"";"The Promise of the Soul";"0";NULL
"280822";"Q138858352";"tt34625806";"0";"";"Dream of Golden Years";"0";NULL
"283682";"Q138864398";"tt34571219";"0";"";"Wonderful Times";"0";NULL
"289815";"Q2939049";"tt4134664";"0";"";"Las aventuras de Carland Cross";"0";NULL
"289980";"Q134779932";"tt32024266";"0";"";"Destination X";"0";NULL
"293298";"Q136005516";"tt37202552";"0";"";"Most Wanted: Teen Hacker";"0";NULL
"295162";"Q124570470";"tt31114203";"0";"";"The Scarab Flies at Dusk";"0";NULL
"299201";"Q4824734";"tt0310416";"0";"";"Australian Survivor";"0";"10957"
"300529";"Q138933784";"tt38337374";"0";"";"Straight to Hell";"0";NULL
"301557";"Q136484563";"tt39396172";"0";"";"A Nobreza do Amor";"0";NULL
"305997";"Q137801932";"tt36852013";"0";"";"Harlan Coben's Final Twist";"0";NULL
